gene_id_simplified	gene_symbol
ENSG00000236446	CT47B1
ENSG00000169551	CT55
ENSG00000204019	CT83
ENSG00000268651	CTAG1A
ENSG00000184033	CTAG1B
ENSG00000126890	CTAG2
ENSG00000047230	CTPS2
ENSG00000064601	CTSA
ENSG00000172543	CTSW
ENSG00000158290	CUL4B
ENSG00000169245	CXCL10
ENSG00000107562	CXCL12
ENSG00000186810	CXCR3
ENSG00000120280	CXorf21
ENSG00000173681	CXorf23
ENSG00000147113	CXorf36
ENSG00000185753	CXorf38
ENSG00000197620	CXorf40A
ENSG00000197021	CXorf40B
ENSG00000215115	CXorf49
ENSG00000215113	CXorf49B
ENSG00000018610	CXorf56
ENSG00000147231	CXorf57
ENSG00000165182	CXorf58
ENSG00000204165	CXorf65
ENSG00000203933	CXorf66
ENSG00000187690	CXorf67
ENSG00000165168	CYBB
ENSG00000183035	CYLC1
ENSG00000140459	CYP11A1
ENSG00000148795	CYP17A1
ENSG00000137869	CYP19A1
ENSG00000138061	CYP1B1
ENSG00000003137	CYP26B1
ENSG00000173198	CYSLTR1
ENSG00000126733	DACH2
ENSG00000188120	DAZ1
ENSG00000205944	DAZ2
ENSG00000187191	DAZ3
ENSG00000205916	DAZ4
ENSG00000092345	DAZL
ENSG00000198889	DCAF12L1
ENSG00000198354	DCAF12L2
ENSG00000226372	DCAF8L1
ENSG00000189186	DCAF8L2
ENSG00000077279	DCX
ENSG00000165359	DDX26B
ENSG00000215301	DDX3X
ENSG00000067048	DDX3Y
ENSG00000152670	DDX4
ENSG00000184735	DDX53
ENSG00000175084	DES
ENSG00000184210	DGAT2L6
ENSG00000102780	DGKH
ENSG00000274588	DGKK
ENSG00000172893	DHCR7
ENSG00000139549	DHH
ENSG00000169084	DHRSX
ENSG00000147202	DIAPH2
ENSG00000130826	DKC1
ENSG00000104901	DKKL1
ENSG00000082458	DLG3
ENSG00000185559	DLK1
ENSG00000100206	DMC1
ENSG00000198947	DMD
ENSG00000137090	DMRT1
ENSG00000143006	DMRTB1
ENSG00000269502	DMRTC1
ENSG00000184911	DMRTC1B
ENSG00000154099	DNAAF1
ENSG00000115423	DNAH6
ENSG00000013563	DNASE1L1
ENSG00000147251	DOCK11
ENSG00000102385	DRP2
ENSG00000189037	DUSP21
ENSG00000130829	DUSP9
ENSG00000146425	DYNLT1
ENSG00000165169	DYNLT3
ENSG00000143479	DYRK3
ENSG00000147155	EBP
ENSG00000158813	EDA
ENSG00000131080	EDA2R
ENSG00000151617	EDNRA
ENSG00000183690	EFHC2
ENSG00000090776	EFNB1
ENSG00000198759	EGFL6
ENSG00000146648	EGFR
ENSG00000135625	EGR4
ENSG00000173674	EIF1AX
ENSG00000198692	EIF1AY
ENSG00000130741	EIF2S3
ENSG00000102034	ELF4
ENSG00000126767	ELK1
ENSG00000102119	EMD
ENSG00000165675	ENOX2
ENSG00000086289	EPDR1
ENSG00000143819	EPHX1
ENSG00000120915	EPHX2
ENSG00000151491	EPS8
ENSG00000187682	ERAS
ENSG00000186871	ERCC6L
ENSG00000196482	ESRRG
ENSG00000123576	ESX1
ENSG00000185010	F8
ENSG00000277203	F8A1
ENSG00000274791	F8A2
ENSG00000277150	F8A3
ENSG00000101981	F9
ENSG00000165591	FAAH2
ENSG00000205186	FABP9
ENSG00000182518	FAM104B
ENSG00000184083	FAM120C
ENSG00000156504	FAM122B
ENSG00000156500	FAM122C
ENSG00000134590	FAM127A
ENSG00000203950	FAM127B
ENSG00000212747	FAM127C
ENSG00000179083	FAM133A
ENSG00000130054	FAM155B
ENSG00000268350	FAM156A
ENSG00000179304	FAM156B
ENSG00000123575	FAM199X
ENSG00000225828	FAM229A
ENSG00000071889	FAM3A
ENSG00000174016	FAM46D
ENSG00000185448	FAM47A
ENSG00000189132	FAM47B
ENSG00000198173	FAM47C
ENSG00000071859	FAM50A
ENSG00000262919	FAM58A
ENSG00000142530	FAM71E1
ENSG00000183304	FAM9A
ENSG00000177138	FAM9B
ENSG00000187268	FAM9C
ENSG00000181544	FANCB
ENSG00000026103	FAS
ENSG00000117560	FASLG
ENSG00000147378	FATE1
ENSG00000143226	FCGR2A
ENSG00000102302	FGD1
ENSG00000127084	FGD3
ENSG00000129682	FGF13
ENSG00000196468	FGF16
ENSG00000022267	FHL1
ENSG00000115641	FHL2
ENSG00000112214	FHL5
ENSG00000165197	FIGF
ENSG00000096060	FKBP5
ENSG00000077800	FKBP6
ENSG00000196924	FLNA
ENSG00000102081	FMR1
ENSG00000176988	FMR1NB
ENSG00000183770	FOXL2
ENSG00000184481	FOXO4
ENSG00000049768	FOXP3
ENSG00000189299	FOXR2
ENSG00000165694	FRMD7
ENSG00000147234	FRMPD3
ENSG00000169933	FRMPD4
ENSG00000170820	FSHR
ENSG00000132446	FTHL17
ENSG00000068438	FTSJ1
ENSG00000069509	FUNDC1
ENSG00000165775	FUNDC2
ENSG00000180549	FUT7
ENSG00000160211	G6PD
ENSG00000160219	GAB3
ENSG00000011677	GABRA3
ENSG00000102287	GABRE
ENSG00000268089	GABRQ
ENSG00000205777	GAGE1
ENSG00000215274	GAGE10
ENSG00000236737	GAGE12B
ENSG00000237671	GAGE12C
ENSG00000227488	GAGE12D
ENSG00000216649	GAGE12E
ENSG00000236362	GAGE12F
ENSG00000215269	GAGE12G
ENSG00000224902	GAGE12H
ENSG00000241465	GAGE12I
ENSG00000224659	GAGE12J
ENSG00000237597	GAGE13
ENSG00000189064	GAGE2A
ENSG00000231850	GAGE2B
ENSG00000236249	GAGE2C
ENSG00000240257	GAGE2D
ENSG00000205775	GAGE2E
ENSG00000106648	GALNTL5
ENSG00000130005	GAMT
ENSG00000111640	GAPDH
ENSG00000105679	GAPDHS
ENSG00000183087	GAS6
ENSG00000102145	GATA1
ENSG00000136574	GATA4
ENSG00000141448	GATA6
ENSG00000070610	GBA2
ENSG00000203879	GDI1
ENSG00000168621	GDNF
ENSG00000130055	GDPD2
ENSG00000046647	GEMIN8
ENSG00000152661	GJA1
ENSG00000169562	GJB1
ENSG00000198814	GK
ENSG00000165113	GKAP1
ENSG00000102393	GLA
ENSG00000171433	GLOD5
ENSG00000101958	GLRA2
ENSG00000188828	GLRA4
ENSG00000182890	GLUD2
ENSG00000130119	GNL3L
ENSG00000147257	GPC3
ENSG00000076716	GPC4
ENSG00000068394	GPKOW
ENSG00000046653	GPM6B
ENSG00000165370	GPR101
ENSG00000147262	GPR119
ENSG00000101850	GPR143
ENSG00000184194	GPR173
ENSG00000147138	GPR174
ENSG00000171659	GPR34
ENSG00000102195	GPR50
ENSG00000135898	GPR55
ENSG00000171657	GPR82
ENSG00000198932	GPRASP1
ENSG00000158301	GPRASP2
ENSG00000173612	GPRC6A
ENSG00000125675	GRIA3
ENSG00000068400	GRIPAP1
ENSG00000126010	GRPR
ENSG00000111305	GSG1
ENSG00000189369	GSPT2
ENSG00000134202	GSTM3
ENSG00000178605	GTPBP6
ENSG00000170627	GTSF1
ENSG00000101890	GUCY2F
ENSG00000056998	GYG2
ENSG00000187166	H1FNT
ENSG00000274183	H2AFB1
ENSG00000277858	H2AFB2
ENSG00000277745	H2AFB3
ENSG00000101812	H2BFM
ENSG00000123569	H2BFWT
ENSG00000213397	HAUS7
ENSG00000196565	HBG2
ENSG00000004961	HCCS
ENSG00000172534	HCFC1
ENSG00000094631	HDAC6
ENSG00000147099	HDAC8
ENSG00000165259	HDX
ENSG00000089472	HEPH
ENSG00000197921	HES5
ENSG00000123485	HJURP
ENSG00000029993	HMGB3
ENSG00000176256	HMGB4
ENSG00000198157	HMGN5
ENSG00000221887	HMSD
ENSG00000126945	HNRNPH2
ENSG00000134709	HOOK1
ENSG00000165704	HPRT1
ENSG00000168004	HRASLS5
ENSG00000171004	HS6ST2
ENSG00000176387	HSD11B2
ENSG00000108786	HSD17B1
ENSG00000072506	HSD17B10
ENSG00000130948	HSD17B3
ENSG00000203857	HSD3B1
ENSG00000171116	HSFX1
ENSG00000268738	HSFX2
ENSG00000172468	HSFY1
ENSG00000169953	HSFY2
ENSG00000126803	HSPA2
ENSG00000260325	HSPB9
ENSG00000169087	HSPBAP1
ENSG00000102241	HTATSF1
ENSG00000147246	HTR2C
ENSG00000166033	HTRA1
ENSG00000086758	HUWE1
ENSG00000122986	HVCN1
ENSG00000187516	HYPM
ENSG00000067829	IDH3G
ENSG00000010404	IDS
ENSG00000089289	IGBP1
ENSG00000017427	IGF1
ENSG00000167244	IGF2
ENSG00000146678	IGFBP1
ENSG00000146674	IGFBP3
ENSG00000115461	IGFBP5
ENSG00000147255	IGSF1
ENSG00000269335	IKBKG
ENSG00000131724	IL13RA1
ENSG00000123496	IL13RA2
ENSG00000169306	IL1RAPL1
ENSG00000189108	IL1RAPL2
ENSG00000147168	IL2RG
ENSG00000008517	IL32
ENSG00000185291	IL3RA
ENSG00000124334	IL9R
ENSG00000123999	INHA
ENSG00000122641	INHBA
ENSG00000163083	INHBB
ENSG00000248099	INSL3
ENSG00000102786	INTS6
ENSG00000173389	IQCF1
ENSG00000229972	IQCF3
ENSG00000124313	IQSEC2
ENSG00000184216	IRAK1
ENSG00000133124	IRS4
ENSG00000147166	ITGB1BP2
ENSG00000102313	ITIH6
ENSG00000078596	ITM2A
ENSG00000102221	JADE3
ENSG00000152969	JAKMIP1
ENSG00000102057	KCND1
ENSG00000176076	KCNE5
ENSG00000145936	KCNMB1
ENSG00000126012	KDM5C
ENSG00000012817	KDM5D
ENSG00000147050	KDM6A
ENSG00000250423	KIAA1210
ENSG00000050030	KIAA2022
ENSG00000141200	KIF2B
ENSG00000090889	KIF4A
ENSG00000170498	KISS1
ENSG00000049130	KITLG
ENSG00000102349	KLF8
ENSG00000003096	KLHL13
ENSG00000174010	KLHL15
ENSG00000185915	KLHL34
ENSG00000102271	KLHL4
ENSG00000134545	KLRC1
ENSG00000147121	KRBOX4
ENSG00000198910	L1CAM
ENSG00000196976	LAGE3
ENSG00000172037	LAMB2
ENSG00000050555	LAMC3
ENSG00000005893	LAMP2
ENSG00000147036	LANCL3
ENSG00000001497	LAS1L
ENSG00000148346	LCN2
ENSG00000166796	LDHC
ENSG00000182195	LDOC1
ENSG00000203784	LELP1
ENSG00000174697	LEP
ENSG00000138039	LHCGR
ENSG00000182508	LHFPL1
ENSG00000204272	LINC01420
ENSG00000225110	LL0XNC01-16G2.1
ENSG00000175556	LONRF3
ENSG00000113083	LOX
ENSG00000147145	LPAR4
ENSG00000130224	LRCH2
ENSG00000165383	LRRC18
ENSG00000141294	LRRC46
ENSG00000180979	LRRC57
ENSG00000102021	LUZP4
ENSG00000143194	MAEL
ENSG00000204103	MAFB
ENSG00000198681	MAGEA1
ENSG00000124260	MAGEA10
ENSG00000185247	MAGEA11
ENSG00000213401	MAGEA12
ENSG00000268606	MAGEA2
ENSG00000183305	MAGEA2B
ENSG00000221867	MAGEA3
ENSG00000147381	MAGEA4
ENSG00000197172	MAGEA6
ENSG00000156009	MAGEA8
ENSG00000166008	MAGEA9
ENSG00000267978	MAGEA9B
ENSG00000123584	MAGEA9B
ENSG00000214107	MAGEB1
ENSG00000177689	MAGEB10
ENSG00000189023	MAGEB16
ENSG00000182798	MAGEB17
ENSG00000176774	MAGEB18
ENSG00000099399	MAGEB2
ENSG00000198798	MAGEB3
ENSG00000120289	MAGEB4
ENSG00000188408	MAGEB5
ENSG00000176746	MAGEB6
ENSG00000232030	MAGEB6P1
ENSG00000155495	MAGEC1
ENSG00000046774	MAGEC2
ENSG00000165509	MAGEC3
ENSG00000179222	MAGED1
ENSG00000102316	MAGED2
ENSG00000154545	MAGED4
ENSG00000187243	MAGED4B
ENSG00000198934	MAGEE1
ENSG00000186675	MAGEE2
ENSG00000187601	MAGEH1
ENSG00000269313	MAGIX
ENSG00000102158	MAGT1
ENSG00000013619	MAMLD1
ENSG00000189221	MAOA
ENSG00000069535	MAOB
ENSG00000180815	MAP3K15
ENSG00000184368	MAP7D2
ENSG00000129680	MAP7D3
ENSG00000076770	MBNL3
ENSG00000012174	MBTPS2
ENSG00000076706	MCAM
ENSG00000101977	MCF2
ENSG00000232119	MCTS1
ENSG00000112159	MDN1
ENSG00000065833	ME1
ENSG00000169057	MECP2
ENSG00000184634	MED12
ENSG00000180182	MED14
ENSG00000197889	MEIG1
ENSG00000101871	MID1
ENSG00000165175	MID1IP1
ENSG00000080561	MID2
ENSG00000148773	MKI67
ENSG00000120215	MLANA
ENSG00000178053	MLF1
ENSG00000119684	MLH3
ENSG00000169446	MMGT1
ENSG00000008516	MMP25
ENSG00000133131	MORC4
ENSG00000123562	MORF4L2
ENSG00000185681	MORN5
ENSG00000101928	MOSPD1
ENSG00000130150	MOSPD2
ENSG00000073146	MOV10L1
ENSG00000130830	MPP1
ENSG00000134042	MRO
ENSG00000180992	MRPL14
ENSG00000166930	MS4A5
ENSG00000135097	MSI1
ENSG00000005302	MSL3
ENSG00000147065	MSN
ENSG00000214827	MTCP1
ENSG00000171100	MTM1
ENSG00000063601	MTMR1
ENSG00000102043	MTMR8
ENSG00000256045	MTRNR2L10
ENSG00000138823	MTTP
ENSG00000184956	MUC6
ENSG00000157502	MUM1L1
ENSG00000101825	MXRA5
ENSG00000133392	MYH11
ENSG00000101335	MYL9
ENSG00000007944	MYLIP
ENSG00000176658	MYO1D
ENSG00000036448	MYOM2
ENSG00000102030	NAA10
ENSG00000186462	NAP1L2
ENSG00000186310	NAP1L3
ENSG00000204118	NAP1L6
ENSG00000170935	NCBP2L
ENSG00000124479	NDP
ENSG00000125356	NDUFA1
ENSG00000147123	NDUFB11
ENSG00000186575	NF2
ENSG00000166681	NGFRAP1
ENSG00000188158	NHS
ENSG00000204131	NHSL2
ENSG00000101882	NKAP
ENSG00000186416	NKRF
ENSG00000196338	NLGN3
ENSG00000146938	NLGN4X
ENSG00000165246	NLGN4Y
ENSG00000215174	NLRP2P
ENSG00000103202	NME4
ENSG00000147140	NONO
ENSG00000089250	NOS1
ENSG00000134250	NOTCH2
ENSG00000074181	NOTCH3
ENSG00000007952	NOX1
ENSG00000169297	NR0B1
ENSG00000131408	NR1H2
ENSG00000116833	NR5A2
ENSG00000148200	NR6A1
ENSG00000123572	NRK
ENSG00000147383	NSDHL
ENSG00000122824	NUDT10
ENSG00000196368	NUDT11
ENSG00000198088	NUP62CL
ENSG00000269405	NXF2
ENSG00000269437	NXF2B
ENSG00000147206	NXF3
ENSG00000126952	NXF5
ENSG00000101888	NXT2
ENSG00000188937	NYX
ENSG00000197822	OCLN
ENSG00000122126	OCRL
ENSG00000155087	ODF1
ENSG00000136811	ODF2
ENSG00000046651	OFD1
ENSG00000147162	OGT
ENSG00000119547	ONECUT2
ENSG00000079482	OPHN1
ENSG00000102076	OPN1LW
ENSG00000268221	OPN1MW
ENSG00000166160	OPN1MW2
ENSG00000269433	OPN1MW3
ENSG00000171054	OR13H1
ENSG00000184792	OSBP2
ENSG00000164920	OSR2
ENSG00000036473	OTC
ENSG00000089723	OTUB2
ENSG00000068308	OTUD5
ENSG00000189401	OTUD6A
ENSG00000078589	P2RY10
ENSG00000186912	P2RY4
ENSG00000182162	P2RY8
ENSG00000186288	PABPC1L2A
ENSG00000184388	PABPC1L2B
ENSG00000174740	PABPC5
ENSG00000117115	PADI2
ENSG00000068985	PAGE1
ENSG00000234068	PAGE2
ENSG00000238269	PAGE2B
ENSG00000204279	PAGE3
ENSG00000101951	PAGE4
ENSG00000158639	PAGE5
ENSG00000077264	PAK3
ENSG00000140694	PARN
ENSG00000166049	PASD1
ENSG00000102390	PBDC1
ENSG00000102290	PCDH11X
ENSG00000099715	PCDH11Y
ENSG00000165194	PCDH19
ENSG00000102109	PCSK1N
ENSG00000102230	PCYT1B
ENSG00000163440	PDCL2
ENSG00000073417	PDE8A
ENSG00000131828	PDHA1
ENSG00000067992	PDK3
ENSG00000120509	PDZD11
ENSG00000067840	PDZD4
ENSG00000124587	PEX6
ENSG00000158571	PFKFB1
ENSG00000170525	PFKFB3
ENSG00000171314	PGAM1
ENSG00000164708	PGAM2
ENSG00000226784	PGAM4
ENSG00000102144	PGK1
ENSG00000170950	PGK2
ENSG00000101856	PGRMC1
ENSG00000102174	PHEX
ENSG00000116273	PHF13
ENSG00000156531	PHF6
ENSG00000010318	PHF7
ENSG00000172943	PHF8
ENSG00000067177	PHKA1
ENSG00000044446	PHKA2
ENSG00000165195	PIGA
ENSG00000080572	PIH1D3
ENSG00000102096	PIM2
ENSG00000102309	PIN4
ENSG00000087842	PIR
ENSG00000197181	PIWIL2
ENSG00000181191	PJA1
ENSG00000170965	PLAC1
ENSG00000011422	PLAUR
ENSG00000182378	PLCXD1
ENSG00000214456	PLIN5
ENSG00000123560	PLP1
ENSG00000102007	PLP2
ENSG00000102024	PLS3
ENSG00000130827	PLXNA3
ENSG00000198753	PLXNB3
ENSG00000105819	PMPCB
ENSG00000130822	PNCK
ENSG00000183837	PNMA3
ENSG00000198883	PNMA5
ENSG00000235961	PNMA6A
ENSG00000224201	PNMA6A
ENSG00000203902	PNMA6B
ENSG00000257088	PNMA6D
ENSG00000006757	PNPLA4
ENSG00000124429	POF1B
ENSG00000101868	POLA1
ENSG00000102312	PORCN
ENSG00000196767	POU3F4
ENSG00000204531	POU5F1
ENSG00000086717	PPEF1
ENSG00000049769	PPP1R3F
ENSG00000167393	PPP2R3B
ENSG00000188386	PPP3R2
ENSG00000102103	PQBP1
ENSG00000243279	PRAF2
ENSG00000123131	PRDX4
ENSG00000012211	PRICKLE3
ENSG00000162409	PRKAA2
ENSG00000183943	PRKX
ENSG00000172179	PRL
ENSG00000113494	PRLR
ENSG00000175646	PRM1
ENSG00000122304	PRM2
ENSG00000178257	PRM3
ENSG00000171864	PRND
ENSG00000183146	PRORY
ENSG00000147224	PRPS1
ENSG00000101911	PRPS2
ENSG00000183631	PRR32
ENSG00000130962	PRRG1
ENSG00000130032	PRRG3
ENSG00000169789	PRY
ENSG00000169807	PRY2
ENSG00000101843	PSMD10
ENSG00000185920	PTCH1
ENSG00000165186	PTCHD1
ENSG00000107317	PTGDS
ENSG00000130021	PUDP
ENSG00000134594	RAB33A
ENSG00000155961	RAB39B
ENSG00000172476	RAB40A
ENSG00000102128	RAB40AL
ENSG00000147127	RAB41
ENSG00000123595	RAB9A
ENSG00000123570	RAB9B
ENSG00000131831	RAI2
ENSG00000123728	RAP2C
ENSG00000106538	RARRES2
ENSG00000108551	RASD1
ENSG00000102054	RBBP7
ENSG00000182872	RBM10
ENSG00000102317	RBM3
ENSG00000089682	RBM41
ENSG00000147274	RBMX
ENSG00000134597	RBMX2
ENSG00000175718	RBMXL3
ENSG00000234414	RBMY1A1
ENSG00000242875	RBMY1B
ENSG00000244395	RBMY1D
ENSG00000242389	RBMY1E
ENSG00000169800	RBMY1F
ENSG00000226941	RBMY1J
ENSG00000102032	RENBP
ENSG00000169891	REPS2
ENSG00000243978	RGAG1
ENSG00000242732	RGAG4
ENSG00000130988	RGN
ENSG00000101883	RHOXF1
ENSG00000131721	RHOXF2
ENSG00000203989	RHOXF2B
ENSG00000158423	RIBC1
ENSG00000147223	RIPPLY1
ENSG00000131263	RLIM
ENSG00000107018	RLN1
ENSG00000107014	RLN2
ENSG00000171136	RLN3
ENSG00000129538	RNASE1
ENSG00000125352	RNF113A
ENSG00000133135	RNF128
ENSG00000179580	RNF151
ENSG00000065371	ROPN1
ENSG00000145491	ROPN1L
ENSG00000069667	RORA
ENSG00000278646	RP1-321E8.5
ENSG00000283093	RP11-141O19.1
ENSG00000282815	RP13-147D17.3
ENSG00000277535	RP13-347D8.7
ENSG00000102218	RP2
ENSG00000282419	RP5-1052M9.5
ENSG00000250349	RP5-972B16.2
ENSG00000260548	RP6-24A23.6
ENSG00000204086	RPA4
ENSG00000156313	RPGR
ENSG00000147403	RPL10
ENSG00000241343	RPL36A
ENSG00000257529	RPL36A-HNRNPH2
ENSG00000198918	RPL39
ENSG00000198034	RPS4X
ENSG00000129824	RPS4Y1
ENSG00000280969	RPS4Y2
ENSG00000177189	RPS6KA3
ENSG00000072133	RPS6KA6
ENSG00000083750	RRAGB
ENSG00000102104	RS1
ENSG00000187257	RSBN1L
ENSG00000160188	RSPH1
ENSG00000204231	RXRB
ENSG00000169906	S100G
ENSG00000181433	SAGE1
ENSG00000122122	SASH3
ENSG00000130066	SAT1
ENSG00000141504	SAT2
ENSG00000184788	SATL1
ENSG00000047634	SCML1
ENSG00000102098	SCML2
ENSG00000132631	SCP2D1
ENSG00000260428	SCX
ENSG00000115884	SDC1
ENSG00000082684	SEMA5B
ENSG00000123561	SERPINA7
ENSG00000170542	SERPINB9
ENSG00000149131	SERPING1
ENSG00000106483	SFRP4
ENSG00000183918	SH2D1A
ENSG00000131171	SH3BGRL
ENSG00000147010	SH3KBP1
ENSG00000129214	SHBG
ENSG00000185960	SHOX
ENSG00000146950	SHROOM2
ENSG00000158352	SHROOM4
ENSG00000126903	SLC10A3
ENSG00000147100	SLC16A2
ENSG00000141526	SLC16A3
ENSG00000102078	SLC25A14
ENSG00000151475	SLC25A31
ENSG00000077713	SLC25A43
ENSG00000005022	SLC25A5
ENSG00000269743	SLC25A53
