gene_set_name	gene_id_simplified	gene_symbol	Weight
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000107984	DKK1	16.88204832
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000111799	COL12A1	19.69845414
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000112852	PCDHB2	12.78971656
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000113739	STC2	18.52013738
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000114270	COL7A1	15.95720756
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000117152	RGS4	13.65845078
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000117525	F3	14.04935958
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000120322	PCDHB8	13.18968209
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000120327	PCDHB14	11.84779827
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000125398	SOX9	17.04746996
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000128510	CPA4	15.25348848
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000132793	LPIN3	15.0164201
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000132821	VSTM2L	14.96461058
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000134775	FHOD3	14.41824326
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000135454	B4GALNT1	15.04730128
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000135480	KRT7	19.40064714
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000136352	NKX2-1	13.05728751
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000136943	CTSV	10.80499326
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000137203	TFAP2A	17.35670314
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000137819	PAQR5	12.09902632
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000138771	SHROOM3	16.81690868
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000141738	GRB7	11.96189666
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000143512	HHIPL2	13.91533264
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000144810	COL8A1	12.84200426
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000145536	ADAMTS16	12.91713668
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000146648	EGFR	18.10918609
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000147100	SLC16A2	14.86409636
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000147689	FAM83A	17.49035018
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000148677	ANKRD1	13.40079329
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000149948	HMGA2	13.22531797
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000157214	STEAP2	13.28960108
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000158296	SLC13A3	12.60157043
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000162039	MEIOB	12.0219858
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000163347	CLDN1	12.25131413
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000163395	IGFN1	16.81855032
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000164078	MST1R	17.32470528
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000164176	EDIL3	13.25230189
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000165868	HSPA12A	10.9998527
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000166106	ADAMTS15	14.70986122
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000166250	CLMP	13.34482734
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000166897	ELFN2	16.10385887
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000167105	TMEM92	11.64944467
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000167767	KRT80	14.73149063
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000170381	SEMA3E	11.93190081
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000171004	HS6ST2	13.44032555
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000171016	PYGO1	11.97999907
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000171017	LRRC8E	13.81460706
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000171346	KRT15	12.12323406
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000172201	ID4	12.55041323
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000173546	CSPG4	15.32746541
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000174672	BRSK2	13.030639
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000174938	SEZ6L2	19.55760095
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000175793	SFN	16.14073145
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000176842	IRX5	15.65483572
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000178150	ZNF114	13.16686109
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000178401	DNAJC22	10.89168914
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000180801	ARSJ	13.75532041
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000183287	CCBE1	13.31437502
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000183668	PSG9	13.59585006
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000183853	KIRREL	15.53213293
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000184363	PKP3	15.43520774
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000184949	FAM227A	10.86088807
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000185686	PRAME	14.05965126
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000185924	RTN4RL1	15.01680073
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000185988	PLK5	12.66119186
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000186684	CYP27C1	12.22303752
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000187372	PCDHB13	13.14798343
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000187634	SAMD11	14.91706662
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000188064	WNT7B	14.27383634
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000189143	CLDN4	13.76255127
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000196739	COL27A1	13.20636158
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000197261	C6orf141	12.18953473
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000197565	COL4A6	15.50281937
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000198807	PAX9	11.58080201
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000204019	CT83	11.7599123
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000204963	PCDHA7	12.67962942
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000204965	PCDHA5	11.86665258
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000204967	PCDHA4	11.8135608
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000211448	DIO2	13.42649559
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000218336	TENM3	18.02719524
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000221826	PSG3	13.66599198
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000222047	C10orf55	11.06773709
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000231924	PSG1	10.56075701
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000243137	PSG4	14.45078865
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000243509	TNFRSF6B	15.67769677
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000248383	PCDHAC1	13.78514387
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000249158	PCDHA11	12.71295197
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000250120	PCDHA10	13.09998812
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000251664	PCDHA12	13.54570641
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000253159	PCDHGA12	12.65242306
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000253767	PCDHGA8	12.76254047
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000261934	PCDHGA9	12.08174883
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000262576	PCDHGA4	12.14103824
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000269190	FBXO17	12.10597989
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000272674	PCDHB16	13.31588743
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000005421	PON1	23.28055554
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000039537	C6	21.9365445
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000047457	CP	24.90520963
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000055957	ITIH1	25.38467883
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000072080	SPP2	19.69751217
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000079557	AFM	22.39636616
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000080618	CPB2	25.86866547
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000080910	CFHR2	22.08378439
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000081051	AFP	23.13451322
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000090512	FETUB	20.60025537
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000091583	APOH	28.97159715
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000099937	SERPIND1	26.60570492
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000100665	SERPINA4	24.63499226
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000101981	F9	22.34183915
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000104760	FGL1	28.43196468
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000105205	CLC	-8.740142473
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000106927	AMBP	31.20653987
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000110169	HPX	27.54509608
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000110243	APOA5	23.31674011
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000110244	APOA4	18.22193683
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000113600	C9	20.06397429
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000114771	AADAC	24.33682495
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000116785	CFHR3	20.6027655
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000117594	HSD11B1	23.62712063
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000117601	SERPINC1	28.62570839
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000120054	CPN1	20.40869898
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000122194	PLG	26.37902211
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000123405	NFE2	-10.2310795
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000123561	SERPINA7	23.43083315
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000126218	F10	22.89669718
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000129988	LBP	27.80383213
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000131482	G6PC	24.18590904
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000132703	APCS	27.45716812
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000133135	RNF128	22.4010648
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000133742	CA1	-8.831555301
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000134240	HMGCS2	26.49450904
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000134363	FST	21.82992082
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000134365	CFHR4	18.93561932
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000134389	CFHR5	22.85265352
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000135744	AGT	31.99534572
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000137204	SLC22A7	22.03618575
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000138109	CYP2C9	23.2872648
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000138207	RBP4	31.26074074
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000138308	PLA2G12B	19.8978003
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000138823	MTTP	22.08830129
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000139209	SLC38A4	23.95124607
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000143278	F13B	21.61985348
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000145192	AHSG	29.64015168
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000145321	GC	29.45381477
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000146039	SLC17A4	20.17942938
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000146678	IGFBP1	26.17860919
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000147257	GPC3	25.26776805
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000148702	HABP2	25.16121778
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000149516	MS4A3	-8.978808888
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000149742	SLC22A9	20.08232594
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000151655	ITIH2	28.26007944
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000156096	UGT2B4	27.31026642
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000157131	C8A	24.1032864
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000158874	APOA2	30.87712927
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000159339	PADI4	-11.69241953
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000160870	CYP3A7	21.03783106
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000162267	ITIH3	27.14368496
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000162365	CYP4A22	20.93638806
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000163581	SLC2A2	24.29792656
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000163736	PPBP	-17.10719021
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000164266	SPINK1	21.59542775
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000165376	CLDN2	21.05049911
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000165471	MBL2	21.63163193
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000165828	PRAP1	25.35571842
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000167910	CYP7A1	20.29634101
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000169562	GJB1	25.87395642
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000169903	TM4SF4	26.67121831
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000171234	UGT2B7	23.51718873
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000171557	FGG	30.37901847
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000171560	FGA	31.7680275
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000171564	FGB	30.53489272
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000171903	CYP4F11	22.2864474
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000173702	MUC13	19.51822724
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000175336	APOF	20.10175058
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000178772	CPN2	23.65588757
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000180210	F2	28.25536011
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000180432	CYP8B1	22.56439058
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000187048	CYP4A11	23.40670461
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000188338	SLC38A3	24.41272158
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000196620	UGT2B15	23.34856298
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000197408	CYP2B6	20.75242673
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000197977	ELOVL2	23.25711897
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000198077	CYP2A7	17.65152254
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000234906	APOC2	26.52412293
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000241635	UGT1A1	25.06244756
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000243649	CFB	27.23016888
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000244414	CFHR1	27.08698211
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000244474	UGT1A4	24.85345813
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000255974	CYP2A6	23.97412777
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000261701	HPR	23.57890553
LIHCvscfRNA_Q0.99_P0_2sided	ENSG00000267467	APOC4	22.76638614
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000072080	SPP2	21.10965939
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000081051	AFP	23.86793013
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000091583	APOH	30.0873214
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000099937	SERPIND1	27.53100184
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000106927	AMBP	32.25913654
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000110244	APOA4	21.04433731
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000114771	AADAC	25.35270257
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000117594	HSD11B1	24.96354019
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000117601	SERPINC1	29.6022482
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000123561	SERPINA7	24.49219932
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000126218	F10	23.77269978
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000134363	FST	22.66721846
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000134389	CFHR5	23.72676537
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000135744	AGT	32.90616052
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000138207	RBP4	32.40551684
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000138823	MTTP	23.28923256
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000143278	F13B	22.55606428
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000145192	AHSG	30.70669828
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000146678	IGFBP1	27.57877825
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000147257	GPC3	25.32127793
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000151655	ITIH2	29.04205883
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000156096	UGT2B4	28.61428428
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000158874	APOA2	31.55800563
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000160870	CYP3A7	21.97977937
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000165828	PRAP1	26.10538672
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000167910	CYP7A1	20.76035345
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000171234	UGT2B7	25.0113825
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000180210	F2	29.42084465
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000188338	SLC38A3	25.28357327
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000196620	UGT2B15	24.46691533
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000234906	APOC2	27.38333439
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000243649	CFB	28.2428376
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000244414	CFHR1	27.51993131
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000261701	HPR	24.65294511
LIHCvsNormalvscfRNA_Q0.99_P0_uniq0.95_1sided	ENSG00000267467	APOC4	23.75389602
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000019186	CYP24A1	17.49244038
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000047457	CP	20.07763189
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000047936	ROS1	18.6538937
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000052344	PRSS8	22.1710467
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000058085	LAMC2	22.87899466
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000060718	COL11A1	16.00975306
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000062038	CDH3	19.19894104
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000065361	ERBB3	20.94770322
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000068831	RASGRP2	-14.18577709
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000083307	GRHL2	19.00409454
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000096088	PGC	22.77775013
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000099812	MISP	19.41949603
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000101443	WFDC2	23.051381
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000101825	MXRA5	17.92438389
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000102854	MSLN	21.70528052
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000104413	ESRP1	21.47638191
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000105388	CEACAM5	22.80126399
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000106541	AGR2	24.93347888
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000110195	FOLR1	18.77791196
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000111816	FRK	18.56666033
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000112175	BMP5	15.77496349
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000115221	ITGB6	21.42247053
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000117472	TSPAN1	20.39130009
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000117983	MUC5B	20.01630893
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000122852	SFTPA1	27.08392256
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000125848	FLRT3	18.56099079
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000125999	BPIFB1	18.85425909
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000127324	TSPAN8	18.62396784
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000131400	NAPSA	23.46100427
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000132698	RAB25	19.89379539
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000133135	RNF128	16.5804454
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000133742	CA1	-10.46992471
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000135480	KRT7	22.32327088
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000136352	NKX2-1	18.98362075
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000137673	MMP7	18.39502874
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000147676	MAL2	24.45427039
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000149021	SCGB1A1	20.0613018
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000149516	MS4A3	-8.109800408
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000153292	ADGRF1	17.22829192
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000153446	C16orf89	20.73057084
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000157765	SLC34A2	26.47914376
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000159339	PADI4	-10.44144064
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000161798	AQP5	16.90790113
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000164265	SCGB3A2	19.82960549
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000164266	SPINK1	18.20203399
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000164821	DEFA4	-7.500553944
LUADvscfRNA_Q0.99_P0_2sided	ENSG00000165215	CLDN3	19.21225844
